EVENT_LOG	PRECISION	FITNESS	FILTER_FREQ	FILTER_RAND	TOTAL_TRACES	DISCOVERY_ALG
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	0.575	0.7529	0.8	0.8	41	IMf
ElectronicInvoicingENG.xes.gz	0.5714	0.6513	0.7	0.6	4230	IMf
edited_hh110_labour.xes.gz	0.2222	0.6062	0.7	0.8	16	IMf
BPI_Challenge_2012.xes.gz	0.6259	0.6429	0.6	0.6	6888	IMf
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	-1	-1	0.8	0.6	16	IMf
edited_hh104_weekends.xes.gz	0.2172	0.4791	0.7	0.7	12	IMf
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	0.4709	0.7352	0.7	0.8	105	IMf
BPI_Challenge_2020_InternationalDeclarations.xes.gz	0.4211	0.9165	0.6	0.7	1564	IMf
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	0.2823	0.8084	0.6	0.6	21	IMf
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	0.1828	0.8934	0.7	0.8	20	IMf
Hospital Billing - Event Log.xes.gz	0.9527	0.8466	0.6	0.8	43275	IMf
DocumentProcessingENG.xes.gz	0.642	0.4248	0.7	0.8	4773	IMf
BPI_Challenge_2019_log_IEEE.xes.gz	0.9949	0.8102	0.6	0.6	69479	IMf
BPI_Challenge_2014_Reference alignment.xes.gz	1	0.9818	0.9	0.9	34987	IMf
BPI_Challenge_2020_PermitLog.xes.gz	0.1972	0.9072	0.8	0.8	4964	IMf
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	0.6198	0.9074	0.8	0.7	1459	IMf
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	0.0715	0.7616	0.6	0.8	427	IMf
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	-1	-1	0.7	0.6	138	IMf
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	0.1065	0.8702	0.8	0.6	26	IMf
BPI_Challenge_2014_Inspection.xes.gz	0.4599	0.8478	0.6	0.6	3483	IMf
BPI_Challenge_2014_Geo parcel document.xes.gz	0.3282	0.9187	0.7	0.8	12033	IMf
4a_VARA_CIVEL_-_TJGO.xes	0.9849	0.8469	0.7	0.6	213	IMf
Production_Data.xes.gz	0.3028	0.643	0.8	0.8	180	IMf
8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	0.3402	-1	0.7	0.7	346	IMf
BPI_Challenge_2014_Department control parcels.xes.gz	1	0.7713	0.9	0.9	24048	IMf
BPI_Challenge_2014_Entitlement application.xes.gz	0.9148	0.9118	0.6	0.7	2950	IMf
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	0.3576	0.8176	0.7	0.6	68	IMf
BPI_Challenge_2014_Control summary.xes.gz	1	0.9972	0.9	0.9	35659	IMf
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	0.4032	-1	0.6	0.8	37	IMf
BPI_Challenge_2013_incidents.xes.gz	0.8767	0.9909	0.7	0.7	4399	IMf
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	0.3038	-1	0.6	0.6	273	IMf
5a_VARA_CIVEL_-_TJMT.xes	0.0823	0.9378	0.7	0.8	23	IMf
Road_Traffic_Fine_Management_Process.xes.gz	1	0.5105	0.6	0.6	46371	IMf
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	0.3214	0.84	0.7	0.6	16	IMf
BPI Challenge 2017.xes.gz	-1	-1	0.6	0.6	17446	IMf
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes	0.3652	-1	0.8	0.7	110	IMf
BPI_Challenge_2020_DomesticDeclarations.xes.gz	1	0.8905	0.6	0.8	4618	IMf
BPI_Challenge_2011_Hospital_log.xes.gz	-1	-1	0.6	0.6	711	IMf
BPI_Challenge_2013_open_problems.xes.gz	0.9996	0.8633	0.6	0.7	340	IMf
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	0.1079	0.9526	0.6	0.7	144	IMf
edited_hh102_labour.xes.gz	0.1333	0.7016	0.8	0.7	12	IMf
activitylog_uci_detailed_weekends.xes.gz	0.2829	0.7764	0.9	0.9	9	IMf
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	0.3667	0.7833	0.6	0.7	38	IMf
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.7555	0.984	0.6	0.6	83	IMf
activitylog_uci_detailed_labour.xes.gz	0.3513	0.7468	0.6	0.7	17	IMf
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	0.9717	0.8983	0.8	0.6	944	IMf
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	0.2727	0.785	0.7	0.6	21	IMf
edited_hh104_labour.xes.gz	0.207	0.4377	0.8	0.6	25	IMf
Sepsis Cases - Event Log.xes.gz	0.4742	0.8541	0.6	0.6	666	IMf
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	0.084	-1	0.6	0.6	31	HEU_MINER
ElectronicInvoicingENG.xes.gz	0.5569	0.6513	0.8	0.7	6855	HEU_MINER
BPI_Challenge_2012.xes.gz	0.7745	0.7316	0.6	0.6	3588	HEU_MINER
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	-1	-1	0.6	0.8	22	HEU_MINER
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	0.1711	-1	0.7	0.8	105	HEU_MINER
BPI_Challenge_2020_InternationalDeclarations.xes.gz	0.9662	0.7693	0.6	0.8	3352	HEU_MINER
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	0.202	-1	0.7	0.7	24	HEU_MINER
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	0.6071	-1	0.6	0.7	17	HEU_MINER
Hospital Billing - Event Log.xes.gz	1	0.3627	0.7	0.6	22373	HEU_MINER
DocumentProcessingENG.xes.gz	0.5438	0.8911	0.7	0.7	9384	HEU_MINER
BPI_Challenge_2019_log_IEEE.xes.gz	0.988	0.7271	0.6	0.6	67455	HEU_MINER
BPI_Challenge_2014_Reference alignment.xes.gz	1	0.9819	0.9	0.9	39085	HEU_MINER
BPI_Challenge_2020_PermitLog.xes.gz	0.8026	-1	0.8	0.8	3993	HEU_MINER
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	0.9286	0.6606	0.8	0.6	572	HEU_MINER
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	0.6522	0.7143	0.6	0.8	423	HEU_MINER
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	0.5067	-1	0.6	0.6	137	HEU_MINER
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	0.5083	-1	0.7	0.7	30	HEU_MINER
BPI_Challenge_2014_Inspection.xes.gz	0.9015	0.054	0.6	0.6	3237	HEU_MINER
4a_VARA_CIVEL_-_TJGO.xes	1	0.7017	0.7	0.6	182	HEU_MINER
Production_Data.xes.gz	0.278	-1	0.7	0.6	133	HEU_MINER
8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	0.1689	-1	0.8	0.6	297	HEU_MINER
BPI_Challenge_2014_Department control parcels.xes.gz	1	0.7713	0.9	0.9	24048	HEU_MINER
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	0.3971	0.904	0.7	0.6	70	HEU_MINER
BPI_Challenge_2014_Control summary.xes.gz	1	0.9012	0.9	0.9	8857	HEU_MINER
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	0.1141	-1	0.8	0.6	28	HEU_MINER
BPI_Challenge_2013_incidents.xes.gz	0.9416	0.9809	0.7	0.8	4613	HEU_MINER
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	0.2592	-1	0.6	0.6	273	HEU_MINER
5a_VARA_CIVEL_-_TJMT.xes	0.1984	-1	0.6	0.7	20	HEU_MINER
Road_Traffic_Fine_Management_Process.xes.gz	1	0.6976	0.8	0.8	66756	HEU_MINER
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	0.2916	-1	0.7	0.6	16	HEU_MINER
BPI Challenge 2017.xes.gz	0.6735	-1	0.6	0.6	17784	HEU_MINER
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes	-1	-1	0.8	0.8	126	HEU_MINER
BPI_Challenge_2020_DomesticDeclarations.xes.gz	1	0.9162	0.8	0.7	7091	HEU_MINER
BPI_Challenge_2011_Hospital_log.xes.gz	-1	-1	0.6	0.6	689	HEU_MINER
BPI_Challenge_2013_open_problems.xes.gz	0.9776	0.9246	0.8	0.7	542	HEU_MINER
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.8057	0.6575	0.8	0.8	134	HEU_MINER
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	-1	-1	0.6	0.8	164	HEU_MINER
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	0.3239	0.7499	0.6	0.8	46	HEU_MINER
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	1	0.5299	0.7	0.6	231	HEU_MINER
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	0.3006	-1	0.7	0.7	25	HEU_MINER
Sepsis Cases - Event Log.xes.gz	0.5132	0.7944	0.7	0.8	830	HEU_MINER
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	0.0276	0.9985	0.6	0.4	20	IMd
ElectronicInvoicingENG.xes.gz	0.2114	0.9702	0.6	0.5	10722	IMd
edited_hh110_labour.xes.gz	0.0761	0.9977	0.6	0.4	8	IMd
BPI_Challenge_2012.xes.gz	0.5195	0.4734	0.5	0.5	3856	IMd
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	0.0496	0.9078	0.6	0.5	14	IMd
edited_hh104_weekends.xes.gz	0.0601	0.9999	0.6	0.6	10	IMd
edited_hh110_weekends.xes.gz	0.0801	0.9997	0.5	0.6	3	IMd
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	0.048	0.998	0.5	0.5	64	IMd
BPI_Challenge_2020_InternationalDeclarations.xes.gz	1	0.8424	0.4	0.5	1993	IMd
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	0.0478	0.885	0.4	0.5	17	IMd
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	0.0811	0.8881	0.5	0.4	10	IMd
Hospital Billing - Event Log.xes.gz	1	0.771	0.6	0.5	20902	IMd
DocumentProcessingENG.xes.gz	1	0	0.6	0.4	0	IMd
BPI_Challenge_2019_log_IEEE.xes.gz	1	0.7702	0.5	0.5	92467	IMd
BPI_Challenge_2014_Reference alignment.xes.gz	1	0.9818	0.9	0.9	34987	IMd
BPI_Challenge_2020_PermitLog.xes.gz	0.2304	0.7681	0.6	0.5	1675	IMd
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	0.9859	0.8583	0.6	0.4	437	IMd
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	0.0898	0.9997	0.5	0.5	253	IMd
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	0.0936	0.9218	0.5	0.6	136	IMd
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	0.045	0.9861	0.5	0.4	16	IMd
BPI_Challenge_2014_Inspection.xes.gz	0.2464	0.9395	0.5	0.5	2820	IMd
BPI_Challenge_2014_Geo parcel document.xes.gz	0.3175	0.5744	0.5	0.4	2024	IMd
4a_VARA_CIVEL_-_TJGO.xes	1	0.524	0.4	0.4	69	IMd
Production_Data.xes.gz	0.048	0.99	0.6	0.5	111	IMd
8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	-1	-1	0.6	0.6	297	IMd
BPI_Challenge_2014_Department control parcels.xes.gz	1	0.7713	0.9	0.9	24048	IMd
BPI_Challenge_2014_Entitlement application.xes.gz	1	0	0.4	0.4	0	IMd
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	0.0582	0.999	0.5	0.5	58	IMd
BPI_Challenge_2014_Control summary.xes.gz	1	0.9972	0.9	0.9	35659	IMd
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	0.0256	0.9988	0.4	0.5	23	IMd
BPI_Challenge_2013_incidents.xes.gz	0.9804	0.8305	0.4	0.6	2578	IMd
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	0.0506	0.9213	0.6	0.6	273	IMd
5a_VARA_CIVEL_-_TJMT.xes	0.0479	0.9916	0.4	0.4	11	IMd
Road_Traffic_Fine_Management_Process.xes.gz	1	0.5105	0.5	0.6	46371	IMd
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	0.0517	0.9978	0.6	0.5	14	IMd
BPI Challenge 2017.xes.gz	0.1492	0.9736	0.6	0.6	18593	IMd
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes	0.0201	0.9996	0.6	0.6	95	IMd
BPI_Challenge_2020_DomesticDeclarations.xes.gz	1	0.8592	0.5	0.6	2473	IMd
BPI_Challenge_2011_Hospital_log.xes.gz	-1	-1	0.6	0.6	696	IMd
BPI_Challenge_2013_open_problems.xes.gz	0.9997	0.7245	0.6	0.4	228	IMd
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	0.0348	0.9977	0.5	0.5	103	IMd
edited_hh102_labour.xes.gz	0.0781	0.9806	0.6	0.4	7	IMd
activitylog_uci_detailed_weekends.xes.gz	0.0792	0.9998	0.9	0.9	9	IMd
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE.xes	0.0932	0.987	0.5	0.5	30	IMd
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.3278	0.9871	0.6	0.6	59	IMd
activitylog_uci_detailed_labour.xes.gz	0.0781	0.9991	0.6	0.5	12	IMd
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	1	0.6859	0.6	0.5	123	IMd
